Apr 24, 2026 7:02:57 PM sun.util.locale.provider.LocaleProviderAdapter <clinit>
WARNING: COMPAT locale provider will be removed in a future release
[2026-04-24T19:03:02,956][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] version[7.17.4], pid[62124], build[default/tar/79878662c54c886ae89206c685d9f1051a9d6411/2022-05-18T18:04:20.964345128Z], OS[Mac OS X/15.6.1/aarch64], JVM[Homebrew/OpenJDK 64-Bit Server VM/21.0.10/21.0.10]
[2026-04-25T04:25:57,981][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [15.6m/938907ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T04:43:53,892][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [17.8m/1070987ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T04:45:38,673][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [1.6m/99662ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T05:02:35,970][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [16.7m/1005381ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T05:03:10,635][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [29.7s/29718ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T05:19:12,020][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [15.7m/946939ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T05:34:38,957][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [15.3m/921969ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T05:39:34,947][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [4.8m/290899ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T05:57:15,957][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [17.5m/1053803ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T06:14:34,815][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [17.2m/1033921ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T06:29:44,831][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [15m/904866ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T06:40:34,771][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [10.7m/644980ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T06:52:38,894][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [11.9m/716750ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T06:56:47,606][INFO ][o.e.c.m.MetadataMappingService] [SAURAV-RAJ.local] [catalogue_products/GzccLRS6Q5WkQQXeE-1j5g] update_mapping [_doc]
[2026-04-25T08:08:33,945][INFO ][o.e.c.m.MetadataMappingService] [SAURAV-RAJ.local] [catalogue_products/GzccLRS6Q5WkQQXeE-1j5g] update_mapping [_doc]
[2026-04-25T08:36:51,834][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [15m/900786ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T08:38:09,840][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [1.2m/72852ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T08:53:22,757][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [15m/905741ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T09:00:31,119][WARN ][o.e.t.ThreadPool         ] [SAURAV-RAJ.local] timer thread slept for [7m/423170ms] on absolute clock which is above the warn threshold of [5000ms]
[2026-04-25T09:31:59,112][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] stopping ...
[2026-04-25T09:31:59,146][INFO ][o.e.x.w.WatcherService   ] [SAURAV-RAJ.local] stopping watch service, reason [shutdown initiated]
[2026-04-25T09:31:59,152][INFO ][o.e.x.w.WatcherLifeCycleService] [SAURAV-RAJ.local] watcher has stopped and shutdown
[2026-04-25T09:31:59,311][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] stopped
[2026-04-25T09:31:59,312][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] closing ...
[2026-04-25T09:31:59,357][INFO ][o.e.i.g.DatabaseReaderLazyLoader] [SAURAV-RAJ.local] evicted [0] entries from cache after reloading database [/var/folders/rk/fh7vl2jd2dzcx5m30cp3vjp40000gn/T/elasticsearch-11743950625181039831/geoip-databases/RCXePBIGToKWWA2G0BT7wQ/GeoLite2-Country.mmdb]
[2026-04-25T09:31:59,358][INFO ][o.e.i.g.DatabaseReaderLazyLoader] [SAURAV-RAJ.local] evicted [0] entries from cache after reloading database [/var/folders/rk/fh7vl2jd2dzcx5m30cp3vjp40000gn/T/elasticsearch-11743950625181039831/geoip-databases/RCXePBIGToKWWA2G0BT7wQ/GeoLite2-ASN.mmdb]
[2026-04-25T09:31:59,358][INFO ][o.e.i.g.DatabaseReaderLazyLoader] [SAURAV-RAJ.local] evicted [0] entries from cache after reloading database [/var/folders/rk/fh7vl2jd2dzcx5m30cp3vjp40000gn/T/elasticsearch-11743950625181039831/geoip-databases/RCXePBIGToKWWA2G0BT7wQ/GeoLite2-City.mmdb]
[2026-04-25T09:31:59,362][INFO ][o.e.n.Node               ] [SAURAV-RAJ.local] closed
